Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2017-11-10,55800,56540,55780,56400,48500.83594,6748800,,
2017-11-13,56400,56800,56100,56380,48483.62891,8806650,,
2017-11-14,56380,56740,55920,55920,48088.05469,6725000,48357.50651,
2017-11-15,55920,56320,55320,55340,47589.28516,8816950,48053.65625,
2017-11-16,55440,56000,55400,55780,47967.66406,7640700,47881.66797,48125.89375
2017-11-17,56400,56880,55820,55820,48002.05859,10733150,47853.0026,48026.13828
2017-11-20,55900,55980,55200,55200,47468.89844,9472750,47812.8737,47823.19219
2017-11-21,55400,55840,55280,55280,47537.69531,10324700,47669.55078,47713.12031
2017-11-22,55980,56200,55620,55960,48122.44531,7952950,47709.67969,47819.75234
2017-11-23,55960,55980,55020,55300,47554.89453,6272900,47738.34505,47737.19844
2017-11-24,55300,55500,55180,55460,47692.48047,4536200,47789.9401,47675.28281
2017-11-27,55360,55360,52640,52640,45267.44141,18128900,46838.27214,47234.99141
2017-11-28,52700,53280,51720,53280,45817.80469,13499400,46259.24219,46891.01328
2017-11-29,53200,53240,52500,52600,45233.04297,9590250,45439.42969,46313.13281
2017-11-30,50800,51860,50200,50800,43685.14844,29634150,44911.9987,45539.18359
2017-12-01,50800,51780,50800,50840,43719.54297,12868600,44212.57813,44744.59609
2017-12-04,50840,51340,50020,51340,44149.50781,14865050,43851.39974,44521.00938
2017-12-05,50600,51300,50280,51260,44080.72266,9326550,43983.25781,44173.59297
2017-12-06,51260,51560,50020,50020,43014.38672,10889200,43748.20573,43729.86172
2017-12-07,50040,50980,50020,50740,43633.53906,11065600,43576.21615,43719.53984
2017-12-08,51360,52000,51040,52000,44717.07813,11290450,43788.33464,43919.04688
2017-12-11,52000,52040,51500,51780,44527.89453,8125850,44292.83724,43994.72422
2017-12-12,51820,52100,51660,52100,44803.07813,8765050,44682.68359,44139.19531
2017-12-13,52100,52100,51100,51320,44132.32422,11333700,44487.76563,44362.78281
2017-12-14,51320,52280,51060,51060,43908.72656,20310400,44281.3763,44417.82031
2017-12-15,51240,51480,50520,50620,43530.35938,14928550,43857.13672,44180.47656
2017-12-18,50620,51240,50620,51200,44029.12109,7350250,43822.73568,44080.72188
2017-12-19,51540,52080,51520,51560,44338.71094,11978600,43966.0638,43987.84844
2017-12-21,51000,51060,49100,49140,42257.63281,15624300,43541.82162,43612.91016
2017-12-22,49400,49960,49240,49700,42739.21094,11199650,43111.85156,43379.00703
2017-12-26,49760,50100,48200,48200,41449.28906,16039850,42148.71094,42962.79297
2017-12-27,48960,49560,48460,49360,42828.90234,10743600,42339.13412,42722.74922
2017-12-28,49560,50960,49500,50960,44217.21094,8985450,42831.80078,42698.44922
2018-01-02,51380,51400,50780,51020,44269.25781,8474250,43771.79037,43100.77422
2018-01-03,52540,52560,51420,51620,44789.875,10013500,44425.44792,43510.90703
2018-01-04,52120,52180,50640,51080,44321.32422,11695450,44460.15234,44085.31406
2018-01-05,51300,52120,51200,52120,45223.71484,9481150,44778.30469,44564.27656
2018-01-08,52400,52520,51500,52020,45136.94922,8383650,44893.99609,44748.22422
2018-01-09,51460,51720,49980,50400,43731.30469,18013600,44697.32292,44640.63359
2018-01-10,50500,50520,48640,48840,42377.71094,18566800,43748.65495,44158.20078
2018-01-11,48200,49260,48020,48240,41857.10547,25123800,42655.3737,43665.35703
2018-01-12,48240,48480,46760,48200,41822.40625,27270450,42019.07422,42985.09531
2018-01-15,48800,48980,47920,48540,42117.40625,10096000,41932.30599,42381.18672
2018-01-16,48760,50140,48620,50000,43384.22266,20389650,42441.34505,42311.77031
2018-01-17,50020,50020,49060,49620,43054.50391,11053050,42852.04427,42447.12891
2018-01-18,50020,50640,49820,49900,43297.45313,14848850,43245.39323,42735.19844
2018-01-19,50380,50380,49040,49320,42794.20703,9219950,43048.72135,42929.55859
2018-01-22,48640,48680,47960,48240,41857.10547,12520900,42649.58854,42877.49844
2018-01-23,48660,49160,48300,49160,42655.37109,13532700,42435.5612,42731.72813
2018-01-24,48860,49700,48560,49340,42811.55469,9550500,42441.34375,42683.13828
2018-01-25,49220,50360,49160,50260,43609.82422,11160350,43025.58333,42745.6125
2018-01-26,50500,50780,49840,50780,44061.01953,10350100,43494.13281,42998.975
2018-01-29,51200,51480,50900,51220,44442.80469,11838800,44037.88281,43516.11484
2018-01-30,50440,50640,49780,49800,43210.6875,12284550,43904.83724,43627.17813
2018-01-31,50020,54140,49600,49900,43297.45313,64681300,43650.3151,43724.35781
2018-02-01,50620,50960,49720,49820,43228.03906,27609450,43245.39323,43648.00078
2018-02-02,49380,49400,47700,47700,41388.55859,29260350,42638.01693,43113.50859
2018-02-05,46500,48320,46000,47920,41579.44531,28357900,42065.34766,42540.83672
2018-02-06,46600,47920,46580,47420,41145.60938,19406450,41371.20443,42127.82109
2018-02-07,48240,48260,45800,45800,39739.94922,23448050,40821.66797,41416.32031
2018-02-08,46120,46620,45980,46000,39913.48438,23251050,40266.34766,40753.40938
2018-02-09,44440,45180,44420,44700,38785.5,17465000,39479.64453,40232.79766
2018-02-12,45100,46320,45040,45720,39670.53906,15754950,39456.50781,39851.01641
2018-02-13,46200,48060,46200,47540,41249.71875,18923250,39901.91927,39871.83828
2018-02-14,48080,49100,47940,49000,42516.53906,18905900,41145.59896,40427.15625
2018-02-19,49800,49800,47860,48380,41978.57422,15353450,41914.94401,40840.17422
2018-02-20,48040,48160,47220,47400,41128.25,10122600,41874.45443,41308.72422
2018-02-21,47280,47580,46840,47280,41024.12891,12880200,41376.98438,41579.44219
2018-02-22,47260,47260,46760,46760,40572.93359,8869950,40908.4375,41444.08516
2018-02-23,46760,47800,46760,47220,40972.0625,12423300,40856.375,41135.18984
2018-02-26,47280,47560,47080,47380,41110.89844,9560650,40885.29818,40961.65469
2018-02-27,48360,48380,47380,47380,41110.89844,9830550,41064.61979,40958.18438
2018-02-28,47380,48100,47000,47060,40833.24219,15162350,41018.34635,40920.00703
2018-03-02,46580,46800,46000,46020,39930.83984,13265500,40624.99349,40791.58828
2018-03-05,45820,46160,45080,45200,39219.33984,14100950,39994.47396,40441.04375
2018-03-06,45920,47100,45820,47020,40798.51563,15423350,39982.89844,40378.56719
2018-03-07,48200,48900,47220,48620,42186.81641,21427050,40734.89063,40593.75078
2018-03-08,49200,49480,48080,49200,42690.07813,19463650,41891.80339,40965.11797
2018-03-09,49440,50540,49240,49740,43158.63281,14304400,42678.50911,41610.67656
2018-03-12,50560,50780,49580,49740,43158.63281,8688950,43002.44792,42398.53516
2018-03-13,50760,51660,50360,51660,44824.57813,20098700,43713.94792,43203.74766
2018-03-14,51020,52000,51000,51760,44911.34766,12713250,44298.1862,43748.65391
2018-03-15,52000,52020,51020,51540,44720.46094,8882450,44818.79557,44154.73047
2018-03-16,51220,51420,50240,51140,44373.39844,12184900,44668.40234,44397.68359
2018-03-19,50620,51340,50440,50740,44026.30859,8218850,44373.38932,44571.21875
2018-03-20,50700,51200,50100,51200,44425.45703,8193250,44275.05469,44491.39453
2018-03-21,51780,51780,51060,51060,44303.98047,8905200,44251.91536,44369.92109
2018-03-22,51060,51780,51040,51780,44928.70313,8454100,44552.71354,44411.56953
2018-03-23,50340,50720,49600,49720,43141.27344,14854950,44124.65234,44165.14453
2018-03-26,49420,50280,49040,50280,43627.17969,10057750,43899.05208,44085.31875
2018-03-27,50320,50460,49080,49980,43366.86719,11874000,43378.4401,43873.60078
2018-03-28,49100,49100,48340,48700,42256.23047,15159450,43083.42578,43464.05078
2018-03-29,48700,49560,48320,49040,42862.82031,10067000,42828.63932,43050.87422
2018-03-30,49080,49900,49080,49220,43020.13672,7777100,42713.0625,43026.64688
2018-04-02,49000,49220,48500,48540,42425.80469,7115650,42769.58724,42786.37188
2018-04-03,47880,48140,47280,48120,42058.70703,12768250,42501.54948,42524.73984
2018-04-04,48160,48260,46920,46920,41009.84766,12384200,41831.45313,42275.46328
2018-04-05,47400,49380,47340,48740,42600.61328,13245600,41889.72266,42223.02187
2018-04-06,48000,48580,47400,48400,42303.42578,12532700,41971.29557,42079.67969
2018-04-09,48260,49440,48200,49200,43002.66406,9950400,42635.56771,42195.05156
2018-04-10,48540,49220,48040,48880,42722.97266,10984350,42676.35417,42327.90469
2018-04-11,49900,49900,48600,48860,42705.49219,10051100,42810.3763,42667.03359
2018-04-12,49440,49440,48880,49000,42827.85547,12466250,42752.10677,42712.48203
2018-04-13,49600,50180,49400,49800,43527.08594,10278300,43020.14453,42957.21406
2018-04-16,50320,50600,49860,50340,43999.0625,7877450,43451.33464,43156.49375
2018-04-17,50240,50540,49820,49980,43684.40234,7772000,43736.85026,43348.77969
2018-04-18,51000,51360,50580,51360,44890.58594,13462600,44191.35026,43785.79844
2018-04-19,52000,52980,51540,52780,46131.72656,17190550,44902.23828,44446.57266
2018-04-20,51800,52260,51420,51620,45117.82813,11761000,45380.04688,44764.72109
2018-04-23,51000,52080,51000,51900,45362.57031,11619000,45537.375,45037.42266
